測定局コード,測定局名称,住所,SO2,NO,NO2,NOX,CO,OX,NMHC,CH4,THC,SPM,PM2.5,SP,WD,WS,TEMP,HUM,問い合わせ先,局種別
12204110,船橋印内,船橋市印内１－２－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,船橋市,一般局
12204140,船橋若松,船橋市若松３－２－３,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,船橋市,一般局
12204150,船橋南本町,船橋市南本町１０－１,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,船橋市,一般局
12204520,船橋海神（車）,船橋市海神町３－３９９－１,×,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,×,×,船橋市,自排局
12204530,船橋日の出（車）,船橋市日の出１－１６,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,船橋市,自排局
12205030,館山亀ケ原,館山市亀ケ原７５４,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12206010,木更津中央,木更津市中央１－１０－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12206030,木更津畔戸,木更津市畔戸１５２５番地,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12206070,木更津清見台,木更津市清見台南１－１５,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12206080,木更津畑沢,木更津市畑沢南２－１６－１,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12206140,木更津真里谷,木更津市真里谷５２４－３,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12206520,木更津請西（車）,木更津市請西２－１－２４,×,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県,自排局
12206530,木更津牛袋（車）,木更津市牛袋５９１－２,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,千葉県,自排局
12207010,松戸根本,松戸市根本３８７－５,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,松戸市,一般局
12207020,松戸五香,松戸市五香西２－４０－１０,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,松戸市,一般局
12207030,松戸二ツ木,松戸市二ツ木４０－１,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,松戸市,一般局
12207520,松戸上本郷（車）,松戸市上本郷２２３４－５,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,松戸市,自排局
12208010,野田市野田,野田市野田７９４－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12208510,国設野田自動車交通環境測定,野田市宮崎新田１３７－１,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,環境省,自排局
12209010,香取大倉,香取市大倉２１４７－３,×,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12210010,茂原高師,茂原市高師１２４７－６,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12211040,成田加良部,成田市加良部５－１１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12211510,成田花崎（車）,成田市花崎町７８９－４,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,千葉県,自排局
12212040,佐倉江原新田,佐倉市江原新田５４－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12212520,佐倉山王（車）,佐倉市山王２－３７－４,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県,自排局
12213010,東金堀上,東金市堀上１１１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12214010,匝瑳椿,匝瑳市椿９６９－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12216010,習志野鷺沼,習志野市鷺沼台１－５９１－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12217020,柏永楽台,柏市永楽台２－８－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,柏市,一般局
12217030,柏大室,柏市大室１２５６,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,柏市,一般局
12217510,柏旭（車）,柏市旭町３－８３１－３５,×,◯,◯,◯,◯,×,◯,◯,◯,×,×,×,×,×,×,×,柏市,自排局
12217520,柏西原（車）,柏市西原２－１１－２５,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,柏市,自排局
12218010,勝浦小羽戸,勝浦市小羽戸５８－２,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12219010,市原八幡,市原市八幡８３１－２,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市,一般局
12219030,市原五井,市原市五井５５００－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市,一般局
12219060,市原姉崎,市原市姉崎１８５０,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,市原市,一般局
12219090,市原廿五里,市原市廿五里５５８,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市,一般局
12219110,市原潤井戸,市原市潤井戸２２９９－１４,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,市原市,一般局
12219120,市原辰巳台,市原市辰巳台西５－１０,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,市原市,一般局
12219140,市原有秋,市原市有秋台西２－３,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,市原市,一般局
12219180,市原松崎,市原市松崎８２０,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,市原市,一般局
12219190,市原岩崎西,市原市岩崎西１－８－８,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12219200,市原郡本,市原市北国分寺台３－５－１,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,市原市,一般局
12219380,市原平野,市原市平野１２３,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,市原市,一般局
12219390,市原奉免,市原市奉免１６６－１,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,市原市,一般局
12219520,市原中川田（車）,市原市五井1661,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,×,×,市原市,自排局
12220010,流山平和台,流山市平和台１－３－１４,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,〇,◯,千葉県,一般局
12221020,八千代高津,八千代市高津４２１－３,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12221510,八千代村上（車）,八千代市村上３１０３,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県,自排局
12222010,我孫子湖北台,我孫子市湖北台４－３－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12224040,鎌ケ谷軽井沢,鎌ケ谷市軽井沢２０６０－３２,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12224510,鎌ケ谷初富（車）,鎌ケ谷市初富９２４－６,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,千葉県,自排局
12225010,君津久保,君津市久保２－１１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12225030,君津坂田,君津市坂田５１８,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12225070,君津宮下,君津市宮下１－４－１,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12225080,君津人見,君津市人見１１５４,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12225090,君津俵田,君津市俵田１１１０,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12225120,君津糠田,君津市糠田５５,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12226010,富津下飯野,富津市下飯野１１３５,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12227510,浦安美浜（車）,浦安市美浜４－６,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,◯,◯,×,×,千葉県,自排局
12228010,四街道鹿渡,四街道市鹿渡８０９－２,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12230010,八街市八街,八街市八街ほ２０８－１０６,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12301020,浦安猫実,浦安市猫実１－２－７,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12303010,野田桐ケ作,野田市桐ケ作４１５－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12305510,柏大津ケ丘（車）,柏市大津ヶ丘２－１,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,柏市,自排局
12326010,白井七次台,白井市七次台３－２２,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12327010,印西高花,印西市高花１－３,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12329010,栄安食台,印旛郡栄町安食台４－３４－１,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12343010,成田奈土,成田市奈土1044,×,◯,◯,◯,×,◯,×,×,×,×,×,×,◯,◯,×,×,千葉県,一般局
12344020,香取羽根川,香取市羽根川５５－５,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12345020,香取府馬,香取市府馬３４２９－４,◯,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12408010,横芝光横芝,山武郡横芝光町横芝１８００,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12409010,芝山山田,山武郡芝山町山田１０６５,×,×,×,×,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12421020,一宮東浪見,長生郡一宮町東浪見１５１６－２,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,千葉県,一般局
12463010,鋸南下佐久間,安房郡鋸南町下佐久間３４５８,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12481010,袖ケ浦坂戸市場,袖ケ浦市坂戸市場４４,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12481040,袖ケ浦代宿,袖ケ浦市代宿３０５,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12481050,袖ケ浦三ッ作,袖ケ浦市三ッ作７４１,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12481060,袖ケ浦蔵波,袖ケ浦市蔵波９９５ー７,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12481070,袖ケ浦吉野田,袖ケ浦市吉野田１９８,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12481080,袖ケ浦横田,袖ケ浦市横田５００,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,〇,◯,千葉県,一般局
12481090,袖ケ浦川原井,袖ケ浦市川原井１８７１－１１,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,千葉県,一般局
12481160,袖ケ浦長浦,袖ケ浦市長浦駅前６－１－４,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,千葉県,一般局
12481510,袖ケ浦福王台(車）,袖ケ浦市福王台４－１０－４,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,◯,◯,×,×,千葉県,自排局
12481520,袖ケ浦大曽根（車）,袖ケ浦市大曽根１９９０,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,◯,◯,×,×,千葉県,自排局
13101010,千代田区神田司町,千代田区神田司町２丁目２番地,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13101510,日比谷交差点,千代田区,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13101520,国設霞が関,千代田区,×,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,×,×,×,×,×,環境省,自排局
13102010,中央区晴海,中央区晴海三丁目６番１号,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13102510,永代通り新川,中央区新川一丁目３番１号,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,東京都,自排局
13103010,港区高輪,港区高輪一丁目6番,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13103510,第一京浜高輪,港区高輪２－２０,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13104010,国設東京（新宿）,新宿区内藤町１１,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,環境省,一般局
13104540,国設新宿,新宿区内藤町１１,×,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,×,×,×,×,環境省,自排局
13104550,新目白通り下落合,新宿区下落合二丁目２番地先,×,◯,◯,◯,×,×,×,◯,◯,◯,◯,×,×,×,×,×,東京都,自排局
13105010,文京区本駒込,文京区本駒込四丁目35番15号,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13105530,春日通り大塚,文京区大塚３－５－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13106520,明治通り大関横丁,台東区三ノ輪２－５地先,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13107520,水戸街道東向島,墨田区東向島１－３４,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13108010,江東区大島,江東区大島３－１－３,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13108020,港区台場,港区台場１－３－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13108520,京葉道路亀戸,江東区亀戸７－４２,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,自排局
13108530,三ツ目通り辰巳,江東区辰巳一丁目９番地先,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13109010,品川区豊町,品川区豊町２－１－２０,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13109030,品川区八潮,品川区八潮５－１１－１７,◯,×,×,×,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13109510,北品川交差点,品川区北品川３－１１－２２,◯,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13109520,中原口交差点,品川区西五反田７－２５－１,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13110010,目黒区碑文谷,目黒区碑文谷４－１９－２５,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13110510,山手通り大坂橋,目黒区青葉台３－６,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13110530,環七通り柿の木坂,目黒区柿の木坂１－１－４,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13111010,大田区東糀谷,大田区東糀谷１－２１－１５,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13111520,環七通り松原橋,大田区中馬込２－１７先,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,自排局
13111530,中原街道南千束,大田区南千束１－３３－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13111540,環八通り千鳥,大田区千鳥３丁目３－３１先,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13112010,世田谷区世田谷,世田谷区世田谷４－２１－２７,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13112020,世田谷区成城,世田谷区成城９－２５－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13112510,玉川通り上馬,世田谷区上馬４－１－３,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13112520,環八通り八幡山,世田谷区粕谷２－１９,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,自排局
13113010,渋谷区宇田川町,渋谷区宇田川町１－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13113510,甲州街道大原,渋谷区笹塚１－６４－１９,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13114010,中野区若宮,中野区若宮三丁目53番,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13114510,山手通り東中野,中野区中央2-18-21,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13115010,杉並区久我山,杉並区久我山５－３６－１７,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13115550,早稲田通り下井草,杉並区下井草四丁目３番１号,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13116530,明治通り西巣鴨,豊島区西巣鴨２－３９－５,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13117520,北本通り王子,北区王子５丁目２９番,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,自排局
13118010,荒川区南千住,荒川区南千住１－４－１１,◯,◯,◯,◯,◯,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13119010,板橋区氷川町,板橋区氷川町１３－１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13119510,中山道大和町,板橋区大和町１４－１２,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13120010,練馬区北町,練馬区北町１－１４－１１,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13120020,練馬区石神井台,練馬区石神井町５－２４地先,×,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13120030,練馬区練馬,練馬区練馬２－２７－２８,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13121010,足立区西新井,足立区西新井６－２１－３,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13121020,足立区綾瀬,足立区綾瀬６－２３,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13121510,日光街道梅島,足立区中央本町１－１７,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,自排局
13122010,葛飾区鎌倉,葛飾区鎌倉２丁目２１番４号,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13122020,葛飾区水元公園,葛飾区水元公園３－２,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13122520,環七通り亀有,葛飾区亀有二丁目７５番１号,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13123010,江戸川区鹿骨,江戸川区鹿骨１－１５－１,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13123020,江戸川区春江町,江戸川区春江町５－３ー３,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13123030,江戸川区南葛西,江戸川区南葛西１－１１－１,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13201020,八王子市片倉町,八王子市片倉町５５３番地,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13201040,八王子市館町,八王子市館町１０９７－６６,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,八王子市,一般局
13201060,八王子市大楽寺町,八王子市大楽寺町４１９－１,×,×,×,×,×,×,×,×,×,◯,×,×,◯,◯,〇,◯,八王子市,一般局
13201510,甲州街道八木町,八王子市八木町８,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,八王子市,自排局
13202010,立川市泉町,立川市泉町１１５６－９,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13203010,武蔵野市関前,武蔵野市関前３－２－２０,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13203510,五日市街道武蔵境,武蔵野市関前５－２１,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13204510,連雀通り下連雀,三鷹市下連雀７丁目１５番４号,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13205010,青梅市東青梅,青梅市東青梅１－１１－１,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13206010,府中市四谷,府中市四谷４－１６－４,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13208020,調布市深大寺南町,調布市深大寺南町４－１６－２３,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13209010,町田市金森,町田市金森1-22,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13209020,町田市能ケ谷町,町田市能ケ谷町１５１２,×,×,×,×,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13210010,小金井市本町,小金井市本町６－６－３,×,◯,◯,◯,◯,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13211010,小平市小川町,小平市小川町２－１３２５,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13212520,川崎街道百草園,日野市落川９４６番地先,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13213510,新青梅街道東村山,東村山市本町１－１０先,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13215510,甲州街道国立,国立市谷保６２０８,◯,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,自排局
13216010,西東京市南町,西東京市南町５－６－１３,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13217010,西東京市下保谷,西東京市下保谷一丁目４番,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13217510,青梅街道柳沢,西東京市柳沢２－１８先,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13218010,福生市本町,福生市本町５,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13219010,狛江市中和泉,狛江市中和泉３－４－１０,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13220010,東大和市奈良橋,東大和市奈良橋４－５７３,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13221010,清瀬市上清戸,清瀬市上清戸２－６－４１,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13222510,小金井街道東久留米,東久留米市中央町６－９－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13224010,多摩市愛宕,多摩市愛宕１－６５－１,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,東京都,一般局
13303520,東京環状長岡,西多摩郡瑞穂町長岡１－１０,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,東京都,自排局
13421950,国設小笠原酸性雨,小笠原村父島旭山地内,◯,◯,◯,◯,×,○,×,×,×,×,◯,×,◯,◯,〇,◯,環境省,一般局
14101010,鶴見区潮田交流プラザ,横浜市鶴見区本町通４－１７１－２３,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,横浜市,一般局
14101020,鶴見区生麦小学校,横浜市鶴見区生麦４－１５－１,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,◯,◯,×,×,横浜市,一般局
14101520,鶴見区下末吉小学校,横浜市鶴見区下末吉２－２５－６,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,横浜市,自排局
14102010,神奈川区総合庁舎,横浜市神奈川区広台太田町３－８,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,横浜市,一般局
14103010,西区平沼小学校,横浜市西区平沼２－１１－３６,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,横浜市,一般局
14103510,西区浅間下交差点,横浜市西区浅間町１－１６,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,横浜市,自排局
14104020,中区加曽台,横浜市中区根岸加曽台１－１,×,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,横浜市,一般局
14104030,中区本牧,横浜市中区本牧大里町１５５－１８,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,横浜市,一般局
14105020,南区横浜商業高校,横浜市南区南太田２－３０－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,横浜市,一般局
14106010,保土ヶ谷区桜丘高校,横浜市保土ヶ谷区桜ヶ丘２－１５－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,横浜市,一般局
14107010,磯子区総合庁舎,横浜市磯子区磯子３－５－１,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,横浜市,一般局
